28,Andrey Semyonovitch,PERSON,0.031850353,0,0
13,Andrey Semyonovitch Lebeziatnikov,PERSON,0.028976316,0,0.200000003
13,Andrey Semyonovitch Lebeziatnikov,PERSON,0.819062471,0,0
25,Andrey Semyonovitch Lebeziatnikov,PERSON,0.005395272,0.200000003,0.200000003
28,Andrey Semyonovitch Lebeziatnikov,PERSON,0.013643519,0,0.200000003
28,Andrey Semyonovitch Lebeziatnikov,PERSON,0.008438611,0.100000001,0.200000003
22,Aniska,PERSON,0.022372663,0,0.200000003
5,Anna,PERSON,0.000356964,0,0
4,Arkady,PERSON,0.018828522,-0.100000001,2.900000095
5,Arkady,PERSON,0.003378293,0.400000006,0.400000006
5,Arkady,PERSON,0.938470066,0,0.400000006
21,Arkady,PERSON,0.023820482,0.100000001,0.100000001
22,Arkady,OTHER,0.680480897,0.100000001,0.100000001
22,Arkady,PERSON,0.845654547,0.100000001,0.100000001
22,Arkady,PERSON,0.136214301,0.100000001,0.100000001
22,Arkady,PERSON,0.05680979,0.100000001,0.100000001
22,Arkady,PERSON,0.246359155,0,0
22,Arkady,PERSON,0.398039371,0,0
22,Arkady,PERSON,0.737461209,0,3
22,Arkady,PERSON,0.533406436,0,0
22,Arkady,PERSON,1,0,0
22,Arkady,PERSON,0.48554635,0,0
22,Arkady,PERSON,1,-0.100000001,0.300000012
22,Arkady,PERSON,0.421448201,-0.100000001,0.100000001
22,Arkady,PERSON,0.749784768,-0.100000001,0.400000006
22,Arkady,PERSON,0.081006356,-0.200000003,0.200000003
22,Arkady,PERSON,0.845654547,0,0
22,Arkady,PERSON,0.427954406,0,0
22,Arkady,PERSON,0.251779884,0,0
22,Arkady,PERSON,0.010420397,-0.100000001,0.100000001
22,Arkady,PERSON,1,0.699999988,2.099999905
22,Arkady,PERSON,0.935737491,0,1.100000024
22,Arkady,PERSON,0.884613097,0,0
23,Arkady,PERSON,0.223689735,-0.200000003,1
23,Arkady,PERSON,0.014875652,0,0.100000001
23,Arkady,PERSON,0.13176848,-0.200000003,0.200000003
23,Arkady,PERSON,0.046233386,0,0.100000001
23,Arkady,PERSON,0.016328406,-0.100000001,0.100000001
23,Arkady,PERSON,0.009094619,-0.100000001,0.100000001
23,Arkady,PERSON,0.139308706,0.100000001,0.300000012
24,Arkady,PERSON,0.000558851,0,0
24,Arkady,PERSON,0.646311581,0,0
24,Arkady,PERSON,0.048953775,0,0
24,Arkady,PERSON,0.106807537,0.699999988,0.699999988
25,Arkady,PERSON,0.030086687,0,0
32,Arkady,PERSON,0.025883749,-0.100000001,0.5
32,Arkady,PERSON,0.581191719,0,0
32,Arkady,PERSON,0.013415623,0,0
32,Arkady,PERSON,0.634236693,0,0.300000012
32,Arkady,OTHER,0.012094096,0.300000012,0.300000012
32,Arkady,PERSON,0.85775125,0.200000003,1.899999976
33,Arkady,OTHER,0.184268758,0,0.100000001
33,Arkady,PERSON,0.105003305,0,0.600000024
33,Arkady,PERSON,0.038387001,0,0
33,Arkady,PERSON,0.426153064,0,0.699999988
33,Arkady,PERSON,0.204656839,0,0.100000001
33,Arkady,PERSON,0.140251085,0.100000001,0.5
33,Arkady,PERSON,0.000767327,0.5,0.5
33,Arkady,PERSON,0.895363986,-0.100000001,0.699999988
33,Arkady,PERSON,0.009951495,0,0
35,Arkady,PERSON,0.590041459,0,0.100000001
35,Arkady,PERSON,0.062300932,0,0
35,Arkady,PERSON,0.025683839,-0.100000001,0.300000012
35,Arkady,PERSON,0.532370806,0,0.300000012
35,Arkady,PERSON,0.12500985,0,0.300000012
35,Arkady,PERSON,0.028027624,0,0
35,Arkady,PERSON,0.443035483,0.200000003,0.600000024
35,Arkady,PERSON,0.325243205,0,1.299999952
35,Arkady,PERSON,0.133803904,0,0.200000003
35,Arkady,PERSON,0.115635313,0.200000003,0.200000003
35,Arkady,PERSON,0.103996791,-0.300000012,0.300000012
35,Arkady,PERSON,0.242205411,0.100000001,0.600000024
35,Arkady,PERSON,0.03186186,0,0
35,Arkady,PERSON,0.038401376,0.100000001,0.100000001
35,Arkady,PERSON,0.728791416,0,0
35,Arkady,PERSON,0.721387208,0,0
35,Arkady,PERSON,0.018348567,0.300000012,1
35,Arkady,OTHER,0.013932155,0,0
35,Arkady,PERSON,0.661903799,0,0
35,Arkady,PERSON,0.77396518,0,1.200000048
35,Arkady,OTHER,0.003908411,0.200000003,0.200000003
35,Arkady,PERSON,0.208228081,0.300000012,0.300000012
35,Arkady,PERSON,0.783704281,-0.300000012,3.099999905
35,Arkady,PERSON,0.762360036,0.100000001,2
35,Arkady,PERSON,0.010087674,-0.400000006,0.400000006
35,Arkady,PERSON,0.580929697,0,0.5
36,Arkady,PERSON,0.041649267,0,4.599999905
36,Arkady,PERSON,0.694138944,-0.200000003,0.800000012
36,Arkady,PERSON,0.731123686,-0.200000003,0.5
36,Arkady,PERSON,0.532372236,0,0.300000012
36,Arkady,PERSON,0.43040067,-0.100000001,0.400000006
36,Arkady,PERSON,0.117406912,-0.200000003,0.200000003
36,Arkady,PERSON,0.72845006,-0.200000003,0.899999976
36,Arkady,PERSON,0.649949968,-0.100000001,0.5
36,Arkady,PERSON,0.379582554,0,0
36,Arkady,PERSON,0.548203766,-0.200000003,0.800000012
36,Arkady,PERSON,0.556955457,0,5.599999905
36,Arkady,PERSON,0.837365568,0.100000001,0.400000006
36,Arkady,PERSON,0.052897103,0,0
36,Arkady,PERSON,0.68288219,0,0.899999976
37,Arkady,PERSON,0.882932782,0,0
37,Arkady,PERSON,0.363485992,0,0
37,Arkady,PERSON,0.812476277,0,0.899999976
37,Arkady,PERSON,0.240982264,-0.100000001,0.400000006
37,Arkady,OTHER,0.037522651,0,0
37,Arkady,PERSON,0.011478171,0,0
37,Arkady,PERSON,0.019025352,0.100000001,0.100000001
37,Arkady,PERSON,0.016405864,-0.300000012,0.300000012
37,Arkady,PERSON,0.662391782,-0.100000001,0.800000012
37,Arkady,OTHER,0.069352582,0,0
37,Arkady,PERSON,0.659731567,-0.100000001,2
37,Arkady,PERSON,0.668465674,0.100000001,0.100000001
37,Arkady,PERSON,0.353842646,0.100000001,0.699999988
37,Arkady,PERSON,0.013556344,0,0
37,Arkady,OTHER,0.460173428,0,0
37,Arkady,PERSON,0.182022288,-0.200000003,0.200000003
37,Arkady,PERSON,0.49393627,-0.100000001,0.300000012
37,Arkady,PERSON,0.137073845,0,0
37,Arkady,PERSON,0.913873196,0,0.100000001
37,Arkady,PERSON,0.726957321,0,0.400000006
37,Arkady,PERSON,0.63921535,0.100000001,0.600000024
37,Arkady,PERSON,0.723275721,0,0
37,Arkady,OTHER,0.057856809,0,0
37,Arkady,PERSON,0.883641064,0,0.100000001
37,Arkady,PERSON,0.434504181,0,0.200000003
37,Arkady,PERSON,0.038446847,0,0
37,Arkady,PERSON,0.597552717,0,0.600000024
37,Arkady,OTHER,0.058645736,-0.100000001,0.100000001
37,Arkady,PERSON,0.641033411,0,1.299999952
38,Arkady,PERSON,0.146879733,0,0.699999988
38,Arkady,PERSON,0.080004536,0.100000001,0.100000001
38,Arkady,PERSON,0.334549636,0,0
38,Arkady,PERSON,0.540922046,0,0.100000001
38,Arkady,OTHER,0.040409774,-0.400000006,0.400000006
22,Arkady Ivanovitch,PERSON,0.587865174,0.100000001,0.800000012
22,Arkady Ivanovitch,PERSON,0.024420027,0.100000001,0.800000012
38,Arkady Ivanovitch,PERSON,0.167574137,0.200000003,0.200000003
23,Arkady Ivanovitch Arkady,PERSON,0.395311475,0.100000001,0.300000012
38,Arkady Ivanovitch Arkady,PERSON,0.12137077,0,0.100000001
4,Arkadys,PERSON,0.000247793,0,0
5,Arkadys,OTHER,0.000833561,-0.300000012,0.300000012
5,Arkadys,OTHER,0.032520667,0,0
5,Arkadys,OTHER,0.032488681,0,0
4,Avdotya,OTHER,0.009964844,0,5.199999809
5,Avdotya,PERSON,0.035536598,0,0.600000024
5,Avdotya,PERSON,0.003468119,0,0
5,Avdotya,PERSON,0.017920393,0,0.300000012
5,Avdotya,PERSON,0.000679853,0,0
5,Avdotya,OTHER,0.483960867,0,0.5
5,Avdotya,PERSON,0.122593522,-0.100000001,6.199999809
5,Avdotya,OTHER,0.002375484,0,0
5,Avdotya,PERSON,0.000886734,0.100000001,0.100000001
15,Avdotya,OTHER,0.729052007,0,0
15,Avdotya,PERSON,0.004561174,0,0
16,Avdotya,PERSON,0.08592584,-0.300000012,0.300000012
16,Avdotya,PERSON,0.162334546,-0.300000012,0.300000012
16,Avdotya,OTHER,0.026710449,0,0
16,Avdotya,PERSON,0.682495356,0,0.200000003
16,Avdotya,PERSON,0.546116114,0,0
16,Avdotya,PERSON,0.454690218,0,0.100000001
16,Avdotya,OTHER,0.798958242,-0.200000003,0.200000003
16,Avdotya,PERSON,0.096939236,0,0
16,Avdotya,PERSON,0.123761781,0.200000003,0.800000012
16,Avdotya,OTHER,0.036149021,0.100000001,0.100000001
16,Avdotya,PERSON,0.538219988,0.300000012,0.300000012
16,Avdotya,PERSON,0.034553178,0,0
16,Avdotya,LOCATION,0.002840114,-0.100000001,0.100000001
16,Avdotya,PERSON,0.000855693,0,0
16,Avdotya,PERSON,0.00085227,0,0
16,Avdotya,PERSON,0.485744357,0.100000001,0.200000003
16,Avdotya,PERSON,0.233478501,0,0
16,Avdotya,PERSON,0.842590809,-0.100000001,0.300000012
16,Avdotya,PERSON,1,0,0
16,Avdotya,PERSON,0.117151372,0,0
16,Avdotya,PERSON,0.261244684,0,0.100000001
16,Avdotya,PERSON,0.699750304,0.200000003,0.400000006
16,Avdotya,PERSON,0.538643122,0,0.100000001
16,Avdotya,PERSON,0.763848841,0,0.800000012
16,Avdotya,PERSON,0.006426706,0,0
16,Avdotya,PERSON,0.373560339,0.100000001,7.199999809
16,Avdotya,OTHER,0.028028872,-0.100000001,0.300000012
16,Avdotya,OTHER,0.010639864,0,0
16,Avdotya,PERSON,0.001142102,0,0
16,Avdotya,PERSON,0.386606693,0.300000012,0.600000024
16,Avdotya,PERSON,0.013540413,0.200000003,0.800000012
16,Avdotya,OTHER,0.001494192,0.100000001,0.100000001
16,Avdotya,PERSON,0.660651624,0,0.200000003
17,Avdotya,OTHER,0.013487341,-0.100000001,0.200000003
17,Avdotya,PERSON,0.004821332,-0.100000001,0.100000001
17,Avdotya,OTHER,0.005182956,0.100000001,0.100000001
17,Avdotya,LOCATION,0.00819571,0,0
17,Avdotya,PERSON,0.040621459,-0.200000003,0.5
17,Avdotya,OTHER,0.097101331,0,0
17,Avdotya,PERSON,0.344748259,0,0.200000003
17,Avdotya,OTHER,0.025587192,0,0.200000003
17,Avdotya,PERSON,0.158052057,0,0.100000001
17,Avdotya,PERSON,0.248030737,0,0
17,Avdotya,PERSON,0.145399123,0.100000001,0.200000003
17,Avdotya,PERSON,0.007289189,-0.200000003,0.200000003
17,Avdotya,PERSON,0.272866458,0,0
17,Avdotya,PERSON,0.556061447,0,0.100000001
17,Avdotya,LOCATION,0.007375413,-0.100000001,0.100000001
17,Avdotya,PERSON,0.015531125,0,0
17,Avdotya,PERSON,0.094687857,0,0
17,Avdotya,PERSON,0.715504766,0.100000001,0.200000003
17,Avdotya,PERSON,0.080461241,0.100000001,0.100000001
17,Avdotya,PERSON,0.074560739,0,0
17,Avdotya,OTHER,0.003767289,-0.5,0.5
17,Avdotya,PERSON,0.008078712,0,0
17,Avdotya,PERSON,0.006533456,-0.100000001,0.100000001
17,Avdotya,OTHER,0.112380311,0,0
17,Avdotya,PERSON,0.740683794,-0.200000003,0.400000006
17,Avdotya,PERSON,0.392392844,0,0
17,Avdotya,OTHER,0.00777396,0.400000006,0.400000006
17,Avdotya,PERSON,0.231286749,0.100000001,0.100000001
17,Avdotya,PERSON,0.866613328,0,0.5
17,Avdotya,OTHER,0.246558681,0,0
17,Avdotya,PERSON,0.576311171,0,1.200000048
17,Avdotya,PERSON,0.315922379,0,0
18,Avdotya,PERSON,0.056228042,0,0
18,Avdotya,PERSON,0.233776063,0,0.200000003
18,Avdotya,PERSON,0.079359382,0.200000003,0.699999988
18,Avdotya,OTHER,0.010706014,0.699999988,0.699999988
18,Avdotya,PERSON,0.039300211,-0.300000012,0.300000012
18,Avdotya,PERSON,0.025752986,0,0
18,Avdotya,PERSON,0.37350592,-0.200000003,0.200000003
18,Avdotya,PERSON,0.462565571,0,0.100000001
18,Avdotya,PERSON,0.049420241,0.100000001,0.100000001
18,Avdotya,OTHER,0.003084178,0,0
18,Avdotya,OTHER,1,0,0
18,Avdotya,PERSON,1,0,0
18,Avdotya,PERSON,0.260848463,-0.100000001,0.200000003
18,Avdotya,OTHER,0.180757388,0,0
18,Avdotya,PERSON,0.486315429,0,0.100000001
18,Avdotya,PERSON,0.15946506,0,0.100000001
18,Avdotya,OTHER,0.010815866,-0.200000003,0.200000003
18,Avdotya,PERSON,0.084734656,0,0
18,Avdotya,PERSON,0.01187028,0,0
18,Avdotya,PERSON,1,0.300000012,0.300000012
18,Avdotya,PERSON,0.061047386,0.5,0.5
18,Avdotya,PERSON,0.395095766,0,0
18,Avdotya,PERSON,0.771354675,0.200000003,0.5
18,Avdotya,PERSON,0.63388586,0,0
18,Avdotya,PERSON,0.145807222,0,0
18,Avdotya,PERSON,0.102551684,0,0
18,Avdotya,OTHER,0.21321395,0,0
18,Avdotya,PERSON,0.599511325,0.100000001,2.200000048
18,Avdotya,PERSON,0.770294189,0,1.100000024
18,Avdotya,PERSON,0.547012866,-0.100000001,2
18,Avdotya,PERSON,0.097696513,0,0
18,Avdotya,LOCATION,0.007878988,0.100000001,0.100000001
18,Avdotya,PERSON,0.120803066,0,0
18,Avdotya,PERSON,0.529547393,-0.100000001,0.400000006
18,Avdotya,PERSON,0.936502993,-0.100000001,0.800000012
18,Avdotya,PERSON,0.10940396,0,0
18,Avdotya,PERSON,0.611661315,0.100000001,0.200000003
18,Avdotya,PERSON,0.836986482,0,0.100000001
18,Avdotya,PERSON,0.367161661,0.5,0.5
19,Avdotya,PERSON,0.006476814,-0.100000001,0.100000001
19,Avdotya,PERSON,0.007617616,0.100000001,0.100000001
19,Avdotya,OTHER,0.058472607,0.400000006,0.400000006
19,Avdotya,PERSON,1,0,0
19,Avdotya,PERSON,0.522282422,0,2
19,Avdotya,OTHER,0.243188143,0.100000001,0.100000001
19,Avdotya,PERSON,1,0,0
19,Avdotya,PERSON,0.813604414,0.600000024,1.299999952
19,Avdotya,PERSON,0.089974932,0.400000006,0.400000006
19,Avdotya,PERSON,0.061690401,0,0
19,Avdotya,PERSON,0.634134233,0.100000001,0.100000001
19,Avdotya,PERSON,1,0,0
19,Avdotya,PERSON,0.10192176,0,0
19,Avdotya,PERSON,0.13819392,-0.100000001,0.300000012
19,Avdotya,PERSON,0.202318087,-0.100000001,0.100000001
19,Avdotya,PERSON,0.004113056,-0.200000003,0.200000003
21,Avdotya,PERSON,0.090088412,0,0
22,Avdotya,PERSON,0.31866926,0,1.100000024
22,Avdotya,PERSON,0.221663341,0,0
22,Avdotya,PERSON,0.043718919,0,0.100000001
22,Avdotya,OTHER,0.008427734,0,0
22,Avdotya,PERSON,0.004320945,0,0
22,Avdotya,PERSON,0.124542765,0.100000001,0.100000001
22,Avdotya,PERSON,0.180109859,0,0.100000001
22,Avdotya,OTHER,0.044444393,-0.100000001,0.300000012
22,Avdotya,PERSON,0.006328736,0.200000003,0.200000003
22,Avdotya,PERSON,0.107514024,0,0
22,Avdotya,OTHER,0.168856665,0.100000001,0.100000001
22,Avdotya,PERSON,0.017178852,0.100000001,0.100000001
23,Avdotya,PERSON,0.021581259,0,0.200000003
23,Avdotya,OTHER,0.49818787,0,0
23,Avdotya,PERSON,0.059969958,0,0.5
23,Avdotya,PERSON,1,0,0
23,Avdotya,PERSON,0.769612968,0.200000003,0.600000024
23,Avdotya,PERSON,0.003917406,-0.5,0.5
23,Avdotya,PERSON,0.364863724,0,0
23,Avdotya,PERSON,0.132937729,0,0
23,Avdotya,PERSON,0.47311908,0,0
23,Avdotya,PERSON,0.031818278,0,0
23,Avdotya,PERSON,0.002480364,0,0
23,Avdotya,PERSON,0.169846535,0,0.300000012
23,Avdotya,OTHER,0.028992772,0,0
23,Avdotya,PERSON,0.717682362,-0.200000003,0.699999988
23,Avdotya,OTHER,0.010411072,0,0
23,Avdotya,PERSON,0.00649821,0,0
23,Avdotya,OTHER,0.185503513,0,0.100000001
23,Avdotya,PERSON,0.071399987,0,0
23,Avdotya,PERSON,0.24954693,0,0
23,Avdotya,PERSON,0.276671708,0,0
23,Avdotya,PERSON,0.071271122,0.200000003,0.200000003
23,Avdotya,PERSON,0.434950054,-0.100000001,0.699999988
23,Avdotya,PERSON,0.133004352,-0.5,0.5
23,Avdotya,PERSON,0.740179896,-0.100000001,0.800000012
23,Avdotya,PERSON,0.477954656,0,3.900000095
23,Avdotya,PERSON,0.364286661,0,0.100000001
23,Avdotya,PERSON,0.74650991,-0.100000001,0.5
23,Avdotya,PERSON,0.065846592,-0.200000003,0.200000003
23,Avdotya,PERSON,0.16340594,0.200000003,0.200000003
23,Avdotya,PERSON,0.295567006,0,0
23,Avdotya,PERSON,0.058162633,0,0
23,Avdotya,PERSON,0.255347818,0,0
23,Avdotya,PERSON,0.141585886,0,0
23,Avdotya,PERSON,0.197369292,0,0
23,Avdotya,PERSON,0.862883508,-0.400000006,1.299999952
23,Avdotya,PERSON,0.305972576,-0.300000012,0.300000012
23,Avdotya,PERSON,0.586630642,-0.200000003,0.699999988
23,Avdotya,OTHER,0.054136477,0,0
23,Avdotya,OTHER,0.112553492,0,0
23,Avdotya,PERSON,0.18423076,0,0
23,Avdotya,PERSON,0.056518409,-0.200000003,0.200000003
24,Avdotya,OTHER,0.065744311,0.100000001,0.5
24,Avdotya,PERSON,0.002586366,0,0
24,Avdotya,PERSON,0.745339334,0.200000003,9.100000381
24,Avdotya,PERSON,0.000976437,0.300000012,0.300000012
24,Avdotya,PERSON,0.779243946,0,1.899999976
24,Avdotya,PERSON,0.436426312,-0.100000001,0.699999988
24,Avdotya,PERSON,0.353688449,0,0
24,Avdotya,PERSON,0.14416413,0,0
24,Avdotya,PERSON,0.022964984,0,0
24,Avdotya,OTHER,0.005705369,-0.100000001,0.100000001
24,Avdotya,PERSON,0.718026102,0.400000006,0.899999976
24,Avdotya,PERSON,1,0,0
24,Avdotya,PERSON,0.058365319,0,0
24,Avdotya,PERSON,0.706296444,0.200000003,1.399999976
24,Avdotya,PERSON,0.010232504,0.100000001,0.100000001
24,Avdotya,PERSON,0.652805746,0.699999988,0.699999988
24,Avdotya,PERSON,0.288331538,0,0
24,Avdotya,PERSON,0.379441708,0,0
24,Avdotya,PERSON,0.258670747,0,0
24,Avdotya,PERSON,0.799963892,0,0.200000003
24,Avdotya,PERSON,0.138216257,0,0
24,Avdotya,PERSON,0.184638023,-0.200000003,0.200000003
28,Avdotya,PERSON,0.089946978,0,0
28,Avdotya,PERSON,0.092162631,0.100000001,0.5
28,Avdotya,PERSON,0.001269873,0,0
28,Avdotya,PERSON,0.002095148,-0.200000003,0.200000003
30,Avdotya,PERSON,0.010458417,0,0
32,Avdotya,PERSON,0.488839924,0,0.400000006
32,Avdotya,PERSON,0.782840014,0,0.100000001
32,Avdotya,PERSON,0.00912799,-0.100000001,0.100000001
32,Avdotya,OTHER,0.468310833,0,0
32,Avdotya,PERSON,1,0,0
32,Avdotya,PERSON,0.142804727,0.699999988,0.699999988
32,Avdotya,PERSON,0.656052053,0,0
32,Avdotya,OTHER,0.023486406,-0.100000001,0.100000001
32,Avdotya,ORGANIZATION,0.004327605,0,0
33,Avdotya,OTHER,0.00174559,0,0
33,Avdotya,PERSON,0.012568887,-0.100000001,0.300000012
33,Avdotya,PERSON,0.011638477,0,0
33,Avdotya,PERSON,0.307867557,0,0
33,Avdotya,PERSON,0.006292204,0.200000003,0.200000003
33,Avdotya,OTHER,0.367863774,0,0
35,Avdotya,OTHER,0.008496282,0,0
35,Avdotya,PERSON,0.00445512,0,0
35,Avdotya,PERSON,0.060624067,0,0
35,Avdotya,PERSON,0.013248757,0,0.100000001
35,Avdotya,PERSON,0.009883489,0.200000003,0.200000003
35,Avdotya,PERSON,0.116422348,0.100000001,0.100000001
36,Avdotya,PERSON,0.006147135,0,0.600000024
36,Avdotya,OTHER,0.000795596,0,0
36,Avdotya,PERSON,0.07957831,0,1.200000048
36,Avdotya,OTHER,0.010393376,0.400000006,1.5
36,Avdotya,PERSON,0.012922885,0,0
36,Avdotya,OTHER,0.034540273,0,0
37,Avdotya,PERSON,0.374388963,-0.100000001,0.5
37,Avdotya,OTHER,0.079915054,0,0
37,Avdotya,PERSON,0.931955934,-0.100000001,0.600000024
37,Avdotya,PERSON,0.908945084,-0.100000001,0.699999988
37,Avdotya,PERSON,0.681062341,0,0
37,Avdotya,PERSON,0.072032943,-0.400000006,1.700000048
37,Avdotya,PERSON,0.190803766,0,0.400000006
37,Avdotya,PERSON,0.78236109,0,1.799999952
37,Avdotya,PERSON,0.765906036,0.100000001,0.300000012
37,Avdotya,OTHER,0.706375897,0,0.200000003
37,Avdotya,OTHER,0.057052191,0,0
37,Avdotya,PERSON,0.084331743,0.400000006,0.400000006
37,Avdotya,PERSON,0.024009744,0.100000001,0.100000001
37,Avdotya,OTHER,0.403427005,0,1.200000048
37,Avdotya,PERSON,0.003999452,0,0
37,Avdotya,OTHER,0.022984806,0,0
37,Avdotya,PERSON,0.902719855,0,0.200000003
37,Avdotya,PERSON,0.875865579,-0.5,1.600000024
37,Avdotya,PERSON,0.768381357,-0.300000012,0.699999988
37,Avdotya,OTHER,0.929528594,0,0
37,Avdotya,PERSON,0.567832291,0,0.100000001
37,Avdotya,PERSON,0.413432807,0.300000012,1.200000048
37,Avdotya,PERSON,0.862926126,0,0
37,Avdotya,PERSON,0.880749166,-0.100000001,0.300000012
37,Avdotya,PERSON,0.070406601,0.300000012,0.300000012
37,Avdotya,PERSON,0.470092654,0,0.400000006
37,Avdotya,PERSON,0.206325307,-0.300000012,0.600000024
37,Avdotya,OTHER,0.136370763,-0.200000003,0.200000003
37,Avdotya,PERSON,0.032682113,0,0
37,Avdotya,PERSON,0.039277621,0.699999988,0.699999988
37,Avdotya,PERSON,0.360655457,0,0
37,Avdotya,PERSON,0.033242956,-0.5,0.5
37,Avdotya,PERSON,0.67924726,0.100000001,1.200000048
37,Avdotya,PERSON,0.521329999,-0.100000001,0.5
